program_id,country_id,date,year
s158,21.0,2021-09-01,2018
s159,116.0,2021-09-01,2003
s160,43.0,2021-09-01,2010
s161,116.0,2021-09-01,1992
s162,116.0,2021-09-01,1996
s163,116.0,2021-09-01,2017
s163,24.0,2021-09-01,2017
s163,43.0,2021-09-01,2017
s164,116.0,2021-09-01,2003
s165,116.0,2021-09-01,1999
s166,,2021-09-01,2019
s167,52.0,2021-09-01,1984
s167,116.0,2021-09-01,1984
s168,116.0,2021-09-01,2008
s168,21.0,2021-09-01,2008
s169,116.0,2021-09-01,2001
s170,116.0,2021-09-01,2006
s171,116.0,2021-09-01,1997
s172,116.0,2021-09-01,2017
s173,116.0,2021-09-01,2003
s173,39.0,2021-09-01,2003
s174,116.0,2021-09-01,2015
s175,116.0,2021-09-01,2003
s176,116.0,2021-09-01,1980
s177,116.0,2021-09-01,1986
s178,115.0,2021-09-01,1961
s178,116.0,2021-09-01,1961
s179,116.0,2021-09-01,2014
s180,116.0,2021-09-01,1996
s181,,2021-09-01,2000
s182,,2021-09-01,2021
s183,116.0,2021-09-01,2008
s184,116.0,2021-08-31,1993
s185,116.0,2021-08-31,2021
s186,,2021-08-31,2021
s187,,2021-08-29,2021
s188,,2021-08-29,2021
s189,37.0,2021-08-28,2008
s190,,2021-08-28,2020
s191,46.0,2021-08-28,2021
s192,115.0,2021-08-28,2017
s192,21.0,2021-08-28,2017
s192,116.0,2021-08-28,2017
s193,46.0,2021-08-27,2008
s194,,2021-08-27,2021
s194,101.0,2021-08-27,2021
s195,,2021-08-27,2002
s196,46.0,2021-08-27,2008
s197,,2021-08-27,2021
s198,,2021-08-27,2021
s199,78.0,2021-08-27,2021
s200,46.0,2021-08-27,2006
s201,46.0,2021-08-27,2004
s202,46.0,2021-08-27,2003
s203,46.0,2021-08-27,2005
s204,46.0,2021-08-27,2016
s205,46.0,2021-08-27,2012
s206,46.0,2021-08-27,2001
s207,46.0,2021-08-27,2010
s208,46.0,2021-08-27,2008
s209,46.0,2021-08-27,2010
s210,46.0,2021-08-27,2013
s211,46.0,2021-08-27,2011
s212,46.0,2021-08-27,2014
s213,50.0,2021-08-27,2016
s214,,2021-08-27,2021
s215,,2021-08-27,2021
s216,46.0,2021-08-27,2007
s217,46.0,2021-08-27,2011
s218,46.0,2021-08-27,2011
s219,,2021-08-27,2021
s220,54.0,2021-08-26,2021
s221,116.0,2021-08-26,2021
s222,,2021-08-25,2021
s223,,2021-08-25,2021
s224,,2021-08-25,2021
s225,,2021-08-25,2021
s226,,2021-08-25,2021
s227,,2021-08-25,2021
s228,116.0,2021-08-25,2020
s229,116.0,2021-08-25,2014
s229,115.0,2021-08-25,2014
s230,116.0,2021-08-25,2020
s231,,2021-08-25,2021
s232,116.0,2021-08-25,2021
s233,116.0,2021-08-25,2019
s234,115.0,2021-08-24,2021
s235,,2021-08-24,2021
s236,,2021-08-24,2021
s237,,2021-08-23,2021
s238,,2021-08-23,2021
s239,,2021-08-23,2021
s240,,2021-08-23,2021
s241,,2021-08-23,2021
s242,116.0,2021-08-21,2021
s243,,2021-08-20,2021
s244,,2021-08-20,2021
s245,,2021-08-20,2018
s246,,2021-08-20,2021
s247,,2021-08-20,2021
s248,116.0,2021-08-20,2021
s249,,2021-08-20,2021
s250,,2021-08-20,2021
s251,,2021-08-19,2020
s252,116.0,2021-08-19,2011
s253,,2021-08-18,2021
s254,46.0,2021-08-18,1995
s255,116.0,2021-08-18,2021
s256,,2021-08-18,2021
s257,,2021-08-18,2020
s258,,2021-08-18,2015
s259,,2021-08-18,2020
s260,46.0,2021-08-18,2018
s260,74.0,2021-08-18,2018
s261,,2021-08-18,2020
s262,,2021-08-18,2021
s263,,2021-08-18,2021
s264,116.0,2021-08-16,2016
s265,116.0,2021-08-16,2014
s266,54.0,2021-08-15,2018
s267,46.0,2021-08-15,2020
s268,76.0,2021-08-15,1993
s268,7.0,2021-08-15,1993
s268,37.0,2021-08-15,1993
s268,116.0,2021-08-15,1993
s269,,2021-08-15,2020
s270,52.0,2021-08-15,2015
s271,52.0,2021-08-13,2021
s271,16.0,2021-08-13,2021
s271,41.0,2021-08-13,2021
s272,116.0,2021-08-13,2021
s273,116.0,2021-08-13,2021
s274,37.0,2021-08-13,2021
s275,116.0,2021-08-13,2021
s276,5.0,2021-08-13,2021
s277,103.0,2021-08-13,2021
s278,55.0,2021-08-12,2021
s279,25.0,2021-08-12,2021
s280,116.0,2021-08-12,2021
s280,54.0,2021-08-12,2021
s281,116.0,2021-08-11,2021
s282,78.0,2021-08-11,2016
s283,68.0,2021-08-11,2020
s284,13.0,2021-08-11,2021
s284,115.0,2021-08-11,2021
s285,115.0,2021-08-11,2021
s285,116.0,2021-08-11,2021
s286,107.0,2021-08-11,2013
s286,115.0,2021-08-11,2013
s286,7.0,2021-08-11,2013
s287,116.0,2021-08-10,2021
s288,,2021-08-10,2021
s289,25.0,2021-08-10,2018
s290,101.0,2021-08-10,2019
s291,116.0,2021-08-10,2021
s292,54.0,2021-08-09,2021
s293,115.0,2021-08-08,2012
s294,100.0,2021-08-08,2021
s295,,2021-08-07,2020
s296,116.0,2021-08-07,2021
s297,51.0,2021-08-06,2021
s297,116.0,2021-08-06,2021
s298,46.0,2021-08-06,2021
s299,78.0,2021-08-06,2020
s300,37.0,2021-08-06,2021
s301,21.0,2021-08-06,2021
s301,116.0,2021-08-06,2021
s302,46.0,2021-08-05,2013
s303,16.0,2021-08-05,2013
s304,5.0,2021-08-05,1985
s305,115.0,2021-08-05,2021
s306,5.0,2021-08-05,1993
s306,103.0,2021-08-05,1993
s307,78.0,2021-08-04,2016
s308,116.0,2021-08-04,2021
s309,116.0,2021-08-04,2012
s310,,2021-08-04,2021
s311,116.0,2021-08-04,2021
s312,68.0,2021-08-04,2021
s313,116.0,2021-08-04,2021
s314,109.0,2021-08-03,2009
s315,116.0,2021-08-03,1995
s316,116.0,2021-08-03,2010
s316,78.0,2021-08-03,2010
s317,109.0,2021-08-03,2011
s318,116.0,2021-08-03,2021
s319,,2021-08-03,2021
s320,109.0,2021-08-03,2005
s321,,2021-08-03,2021
s322,109.0,2021-08-03,2013
s323,109.0,2021-08-03,2008
s324,116.0,2021-08-01,2012
s325,52.0,2021-08-01,2020
s326,116.0,2021-08-01,1992
s327,116.0,2021-08-01,1993
s328,116.0,2021-08-01,2007
s328,115.0,2021-08-01,2007
s329,17.0,2021-08-01,2016
s329,116.0,2021-08-01,2016
s330,116.0,2021-08-01,2002
s330,21.0,2021-08-01,2002
s331,116.0,2021-08-01,2009
s331,21.0,2021-08-01,2009
s332,,2021-08-01,2020
s333,116.0,2021-08-01,1999
s333,68.0,2021-08-01,1999
s334,116.0,2021-08-01,1986
s335,116.0,2021-08-01,2019
s336,116.0,2021-08-01,2006
s337,,2021-08-01,2010
s338,116.0,2021-08-01,2007
s338,21.0,2021-08-01,2007
s339,54.0,2021-08-01,2014
s340,,2021-08-01,2021
s341,116.0,2021-08-01,2010
s341,115.0,2021-08-01,2010
s342,116.0,2021-08-01,1999
s343,116.0,2021-08-01,1995
s344,116.0,2021-08-01,1991
s345,116.0,2021-08-01,1994
s346,116.0,2021-08-01,2015
s346,21.0,2021-08-01,2015
s347,116.0,2021-08-01,2008
s348,103.0,2021-08-01,2009
s348,115.0,2021-08-01,2009
s348,116.0,2021-08-01,2009
s349,115.0,2021-08-01,2019
s349,116.0,2021-08-01,2019
s350,116.0,2021-08-01,2003
s351,116.0,2021-08-01,2000
s352,116.0,2021-08-01,2004
s352,39.0,2021-08-01,2004
s353,116.0,2021-08-01,2016
s353,24.0,2021-08-01,2016
s354,116.0,2021-08-01,2013
s355,116.0,2021-08-01,1991
s356,116.0,2021-08-01,2011
s357,116.0,2021-08-01,2010
s357,37.0,2021-08-01,2010
s358,103.0,2021-08-01,2004
s358,37.0,2021-08-01,2004
s358,115.0,2021-08-01,2004
s358,116.0,2021-08-01,2004
s359,116.0,2021-08-01,1995
s360,116.0,2021-08-01,2000
s361,116.0,2021-08-01,2010
s362,116.0,2021-07-31,2021
s363,,2021-07-31,2018
s364,,2021-07-31,2021
s365,,2021-07-30,2021
s366,,2021-07-30,2014
s366,37.0,2021-07-30,2014
s366,3.0,2021-07-30,2014
s367,115.0,2021-07-30,2021
s368,,2021-07-30,2020
s369,,2021-07-30,2009
s370,,2021-07-30,2021
s371,116.0,2021-07-30,2021
s372,,2021-07-30,2009
s373,,2021-07-30,2021
s374,,2021-07-30,2021
s375,78.0,2021-07-29,2013
s376,,2021-07-29,2021
s377,,2021-07-29,2021
s378,86.0,2021-07-28,2021
s379,116.0,2021-07-28,2019
s380,,2021-07-28,2021
s381,116.0,2021-07-28,2021
s382,,2021-07-28,2021
s383,116.0,2021-07-27,2021
s384,46.0,2021-07-27,2012
s385,,2021-07-27,2021
s386,39.0,2021-07-27,2021
s387,116.0,2021-07-27,2021
s387,21.0,2021-07-27,2021
s388,,2021-07-27,2021
s389,,2021-07-27,2021
s390,37.0,2021-07-27,2019
s390,51.0,2021-07-27,2019
s390,39.0,2021-07-27,2019
s390,116.0,2021-07-27,2019
s390,115.0,2021-07-27,2019
s391,116.0,2021-07-26,2019
s392,21.0,2021-07-26,2020
s392,116.0,2021-07-26,2020
s393,116.0,2021-07-24,2012
s394,7.0,2021-07-23,2021
s395,,2021-07-23,2021
s396,,2021-07-23,2021
s397,,2021-07-23,2021
s398,,2021-07-23,2021
s399,,2021-07-23,2021
s400,,2021-07-23,2021
s401,,2021-07-23,2021
s402,103.0,2021-07-23,2021
s403,115.0,2021-07-23,2021
s404,116.0,2021-07-23,2021
s405,,2021-07-22,2021
s406,,2021-07-22,2015
s407,,2021-07-22,2013
s408,,2021-07-22,2009
s409,,2021-07-22,2011
s410,,2021-07-22,2010
s411,46.0,2021-07-22,2013
s412,,2021-07-22,2013
s413,,2021-07-22,2013
s414,,2021-07-22,2013
s415,,2021-07-22,2012
s416,46.0,2021-07-22,2009
s417,,2021-07-22,2013
s418,,2021-07-22,2015
s419,,2021-07-22,2019
s420,,2021-07-22,2010
s421,,2021-07-22,2012
s422,,2021-07-22,2014
s423,,2021-07-22,2011
s424,,2021-07-22,2011
s425,,2021-07-22,2012
s426,116.0,2021-07-22,2019
s427,76.0,2021-07-22,2021
s428,,2021-07-22,2019
s429,,2021-07-22,2021
s430,78.0,2021-07-21,2020
s431,,2021-07-21,2021
s432,,2021-07-21,2021
s433,,2021-07-21,2021
s434,116.0,2021-07-20,2020
s435,5.0,2021-07-20,2020
s436,,2021-07-20,2019
s437,93.0,2021-07-19,2021
s438,116.0,2021-07-17,2021
s439,,2021-07-16,2020
s440,110.0,2021-07-16,2021
s441,116.0,2021-07-16,2021
s442,,2021-07-16,2021
s443,116.0,2021-07-16,2021
s443,21.0,2021-07-16,2021
s444,,2021-07-16,1999
s445,,2021-07-16,2021
s446,116.0,2021-07-16,2017
s447,116.0,2021-07-16,2017
s448,116.0,2021-07-16,2011
s449,116.0,2021-07-16,2012
s450,116.0,2021-07-16,2010
s451,116.0,2021-07-16,2009
s452,116.0,2021-07-16,2008
s453,47.0,2021-07-15,2021
s454,54.0,2021-07-15,2021
s455,,2021-07-15,1983
s456,,2021-07-15,2021
s457,101.0,2021-07-15,2019
s458,34.0,2021-07-15,2021
s458,30.0,2021-07-15,2021
s458,39.0,2021-07-15,2021
s459,,2021-07-15,2021
s460,116.0,2021-07-15,2021
s461,116.0,2021-07-15,2007
s461,21.0,2021-07-15,2007
s462,,2021-07-15,2019
s463,116.0,2021-07-15,2019
s464,52.0,2021-07-14,2021
s465,,2021-07-14,2021
s466,,2021-07-14,2021
s467,,2021-07-14,2021
s468,,2021-07-14,2021
s469,,2021-07-14,2021
s470,116.0,2021-07-13,2019
s470,21.0,2021-07-13,2019
s471,,2021-07-13,2021
s472,,2021-07-13,2021
s473,116.0,2021-07-13,2021
s474,116.0,2021-07-12,2020
s475,116.0,2021-07-10,2015
s475,107.0,2021-07-10,2015
s476,,2021-07-10,2019
s477,,2021-07-10,2016
s478,116.0,2021-07-09,2021
s479,39.0,2021-07-09,2021
s480,,2021-07-09,2021
s481,,2021-07-09,2020
s482,,2021-07-09,2021
s483,,2021-07-09,2021
s484,,2021-07-09,2021
s485,,2021-07-09,2021
s486,,2021-07-09,2021
s487,43.0,2021-07-09,2016
s487,21.0,2021-07-09,2016
s487,116.0,2021-07-09,2016
s488,,2021-07-09,2021
s489,116.0,2021-07-09,2021
s490,58.0,2021-07-08,2017
s490,116.0,2021-07-08,2017
s491,,2021-07-08,2021
s492,116.0,2021-07-08,2017
s493,116.0,2021-07-08,2018
s494,116.0,2021-07-08,2021
s494,54.0,2021-07-08,2021
s495,116.0,2021-07-08,2015
s496,,2021-07-07,2019
s497,37.0,2021-07-07,2014
s497,21.0,2021-07-07,2014
s497,116.0,2021-07-07,2014
s497,103.0,2021-07-07,2014
s498,,2021-07-07,2021
s499,,2021-07-07,2020
s500,116.0,2021-07-07,2021
s501,,2021-07-07,2021
s502,,2021-07-07,2020
s503,78.0,2021-07-07,2010
s504,86.0,2021-07-07,2021
s505,,2021-07-07,2021
s506,,2021-07-07,2020
s507,7.0,2021-07-07,2021
s508,,2021-07-07,2019
s509,37.0,2021-07-06,2019
s509,75.0,2021-07-06,2019
s509,96.0,2021-07-06,2019
s510,116.0,2021-07-06,2019
s511,21.0,2021-07-06,2016
s512,116.0,2021-07-06,2017
s513,37.0,2021-07-06,2007
s513,13.0,2021-07-06,2007
s514,116.0,2021-07-06,2018
s515,115.0,2021-07-06,2019
s516,115.0,2021-07-06,2019
s517,110.0,2021-07-06,2021
s518,54.0,2021-07-06,2017
s519,46.0,2021-07-06,2020
s520,115.0,2021-07-06,2020
s521,116.0,2021-07-06,2021
s522,21.0,2021-07-06,2021
s523,91.0,2021-07-06,2015
s524,115.0,2021-07-06,2019
s525,54.0,2021-07-06,2019
s526,116.0,2021-07-06,2018
s526,21.0,2021-07-06,2018
s527,116.0,2021-07-06,2019
s528,50.0,2021-07-06,2016
s528,116.0,2021-07-06,2016
s528,115.0,2021-07-06,2016
s529,46.0,2021-07-06,2012
s530,34.0,2021-07-06,1976
s531,116.0,2021-07-06,2015
s532,65.0,2021-07-06,2018
s533,116.0,2021-07-06,2019
s534,51.0,2021-07-06,2021
s535,47.0,2021-07-06,2019
s536,21.0,2021-07-06,2015
s537,7.0,2021-07-06,2018
s538,54.0,2021-07-06,2018
s539,115.0,2021-07-06,2021
s540,7.0,2021-07-06,2020
s540,76.0,2021-07-06,2020
s541,115.0,2021-07-06,2020
s541,39.0,2021-07-06,2020
s542,46.0,2021-07-06,2018
